id,popularity,release_date,hitmiss_spotify,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,chart_scraped,peak_position,weeks_on_chart,hitmiss_billboard
0620OecAlwJQxWieRW4L9s,46,19/1/2015,0,100.74667,-17.465999999999998,135.52100000000002,0.398,4.0,0.987,2.0,0.299,0.0,0.24,0.978,0.5670000000000001,0.175,2.14e-05,0.103,0.0483,0.229,NaN,NaN,NaN,0
5S9o5O3JJ5SzkimwPVaL26,46,4/12/2015,0,218.24998,-10.73,79.816,0.627,4.0,0.944,5.0,0.0,1.0,0.151,0.471,0.373,0.47,0.0279,0.103,0.0675,0.261,NaN,NaN,NaN,0
5EP7CdqAOvhOs6LJWw69sA,41,24/7/2015,0,264.69333,-5.233,111.753,0.885,3.0,0.76,9.0,0.0,1.0,0.078,7.59e-06,0.379,0.984,0.0137,0.121,0.0864,0.0397,NaN,NaN,NaN,0
6jXT02NbBVcc6arVDvzQw8,42,10/2/2015,0,462.16,-8.596,81.74,0.041,4.0,0.637,6.0,0.14300000000000002,0.0,0.355,0.727,0.456,0.398,0.0,0.131,0.0719,0.387,NaN,NaN,NaN,0
4Ij5HnQief1oYBWs8fw0cU,52,31/7/2015,0,225.78667,-2.88,92.952,0.069,4.0,1.0,10.0,0.703,0.0,0.7020000000000001,0.281,0.63,0.875,0.0,0.568,0.248,0.601,NaN,NaN,NaN,0
2imtf7mjk24rRwykjylccq,43,15/12/2015,0,154.72327,-10.946,90.04799999999999,0.039,4.0,1.0,0.0,0.354,0.0,0.484,0.599,0.7240000000000001,0.4,2.38e-06,0.14400000000000002,0.201,0.2,NaN,NaN,NaN,0
5ffHDqMVSdR4zba0bWthFx,41,9/10/2015,0,218.0,-4.928,90.05799999999998,0.116,4.0,1.0,4.0,0.166,0.0,0.315,0.344,0.637,0.759,0.0,0.177,0.0519,0.779,NaN,NaN,NaN,0
2QNrqC6rPGTmVn2dwnlFjL,41,18/9/2015,0,277.33333,-9.325,90.001,0.14800000000000002,4.0,1.0,2.0,0.038,1.0,0.327,0.0437,0.599,0.535,0.0291,0.0785,0.0465,0.121,NaN,NaN,NaN,0
4Srvy4oRCMF9YhkEPfZMXi,51,5/5/2015,0,261.30667,-4.305,118.063,0.892,4.0,1.0,5.0,0.5539999999999999,1.0,0.455,0.0647,0.7340000000000001,0.821,0.0,0.278,0.0493,0.613,NaN,NaN,NaN,0
5FTmUdgqcDTukNT8euZA8r,47,30/1/2015,0,184.50667,-4.678,94.886,0.111,4.0,1.0,9.0,0.679,0.0,0.5710000000000001,0.126,0.574,0.653,4.49e-06,0.0607,0.129,0.726,NaN,NaN,NaN,0
5kLO5ePYVIJSs4gCyoA6JS,49,17/3/2015,0,197.42299,-3.097,89.98899999999998,0.528,4.0,0.99,6.0,0.4370000000000001,1.0,0.465,0.211,0.8540000000000001,0.762,0.0,0.0834,0.204,0.326,NaN,NaN,NaN,0
6eXfVpYZW6v0VhUaNAh3K9,42,17/3/2015,0,217.2058,-4.808,153.964,0.166,4.0,0.917,2.0,0.476,0.0,0.606,0.412,0.544,0.7,0.812,0.0881,0.0499,0.3720000000000001,NaN,NaN,NaN,0
4DLtFH4BB0PuFEDZpYsHYD,41,4/11/2015,0,216.05878,-5.739,130.061,0.696,4.0,1.0,1.0,0.594,0.0,0.5670000000000001,0.0149,0.852,0.6459999999999999,0.0,0.256,0.163,0.19,NaN,NaN,NaN,0
1wMGXSIK48572zgL6RX8kF,43,12/5/2015,0,184.30667,-8.628,135.015,0.313,4.0,0.921,7.0,0.611,1.0,0.63,0.0561,0.7240000000000001,0.73,0.0749,0.34700000000000003,0.11,0.5589999999999999,NaN,NaN,NaN,0
78Yxsdi1JiwLDsU7TWHezw,44,15/5/2015,0,235.50667,-7.095,120.035,0.742,4.0,1.0,1.0,0.426,1.0,0.613,0.0521,0.748,0.767,0.0,0.0859,0.0333,0.9,NaN,NaN,NaN,0
0WKWNt4Bjgu0KZDvt1HiUZ,41,14/4/2015,0,185.54667,-7.209,184.803,0.13699999999999998,3.0,0.657,11.0,0.655,1.0,0.63,0.742,0.334,0.546,0.0413,0.16699999999999998,0.0642,0.5820000000000001,NaN,NaN,NaN,0
1btJNBbN2RlGrLgNRIfNPL,41,18/9/2015,0,208.0,-8.307,74.975,0.181,4.0,1.0,0.0,0.527,1.0,0.636,0.484,0.408,0.327,0.429,0.16399999999999998,0.0301,0.0403,NaN,NaN,NaN,0
48P3T4d0O37SHyngfZJRkl,42,7/4/2015,0,167.78667,-2.824,114.907,0.8059999999999999,4.0,0.873,3.0,0.34600000000000003,1.0,0.648,0.564,0.733,0.7829999999999999,0.0,0.13,0.0282,0.926,NaN,NaN,NaN,0
75ZvA4QfFiZvzhj2xkaWAh,87,9/12/2016,1,223.34667,-5.408,143.95,0.529,4.0,0.904,8.0,0.568,0.0,0.645,0.0689,0.556,0.5379999999999999,0.0,0.196,0.0382,0.29100000000000004,28/4/2018,16,30,1
00dWZUgfnbXcVBfU6Mq435,0,8/3/2016,0,213.77565,-5.722,112.039,1.0,4.0,0.908,0.0,0.626,1.0,0.516,0.606,0.639,0.85,0.0,0.195,0.0391,0.825,NaN,NaN,NaN,0
01ArfGZR4dDkhUIHMwn7zf,4,22/6/2016,0,249.88154,-3.65,74.165,0.043,4.0,1.0,1.0,0.32299999999999995,0.0,0.473,0.34,0.599,0.6779999999999999,0.0,0.106,0.0487,0.815,NaN,NaN,NaN,0
0GMOPInhpswsGtH2hLrUki,0,1/2/2016,0,178.3902,-3.065,113.875,0.0,3.0,1.0,7.0,0.493,1.0,0.318,0.779,0.428,0.778,0.0323,0.368,0.0317,0.8109999999999999,NaN,NaN,NaN,0
0HKfVeOcNLQrnzbh8CaydF,16,20/10/2016,0,266.18304,-5.246,142.004,0.905,4.0,1.0,3.0,0.355,0.0,0.0,0.108,0.652,0.972,0.0,0.105,0.17800000000000002,0.67,NaN,NaN,NaN,0
0IVNEpum7bt9BzmrziLlR3,0,14/9/2016,0,262.10132000000004,-7.707000000000002,81.043,0.616,4.0,1.0,2.0,0.16699999999999998,1.0,0.319,0.428,0.778,0.904,2.06e-06,0.119,0.16699999999999998,0.6509999999999999,NaN,NaN,NaN,0
0ZHqnmNdPHsg7NsyrJKU8h,0,19/5/2016,0,273.5537,-7.952000000000001,82.115,0.195,4.0,0.905,2.0,0.73,1.0,0.6709999999999999,0.625,0.44,0.452,0.0,0.108,0.0546,0.423,NaN,NaN,NaN,0
0f3TPQZouFhdcgw3INUoWv,14,5/8/2016,0,295.07306,-7.211,81.235,0.032,4.0,0.99,2.0,0.476,1.0,0.5539999999999999,0.319,0.4920000000000001,0.71,0.0,0.285,0.0521,0.35200000000000004,NaN,NaN,NaN,0
0mTChtYbNyDDNaN6RS5G9S,0,8/10/2016,0,257.55574,-4.4,109.737,0.36,4.0,0.926,11.0,0.142,0.0,0.35200000000000004,0.28300000000000003,0.5479999999999999,0.8759999999999999,0.0,0.0896,0.077,0.7090000000000001,NaN,NaN,NaN,0
