name,id,popularity,release_date,hit_miss,duration,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Ammalaganna Amma Durgamma,5FuoeiCDKEEGIS2ujT4TGX,1,2017-07-13,miss,205.01465,-8.133,137.97899999999998,0.149,4,1.0,4,0.5579999999999999,0,0.508,0.536,0.558,0.624,9.94e-05,0.261,0.0324,0.411
Diary,5P80CBIJaFN6VZasLKUYid,0,2017-09-04,miss,300.04245,-4.988,126.09200000000001,0.57,4,0.604,3,0.705,0,0.672,0.608,0.609,0.474,0.0,0.116,0.0428,0.461
Amar Je Ase Kachhe,5Uo5WA43rP34XnFHA4duPC,3,2017-12-01,miss,296.12,-4.175,138.64700000000002,0.275,1,1.0,1,0.705,1,0.718,0.904,0.384,0.397,0.0,0.22,0.029,0.223
Yaaran Nal Yaarian,5Z55z7dqOjEf2Z6FCdQLkD,0,2017-12-06,miss,187.67442,-4.8660000000000005,171.99200000000002,0.865,4,1.0,11,0.599,0,0.635,0.282,0.612,0.843,0.0,0.346,0.0982,0.941
Ye Hawayen Sard Sard Hai,5aFwJlm87GvqsQSP6Cglkm,0,2017-03-10,miss,280.2,-8.97,111.837,0.6829999999999999,4,0.9009999999999999,10,0.727,0,0.705,0.787,0.554,0.507,0.0,0.136,0.0319,0.655
Faisalo Karje Tu Jara Vicharine,5asdgX61ue2eWRFGGpWMSn,0,2017-07-05,miss,219.41175,-2.545,100.029,0.67,4,1.0,1,0.6890000000000001,0,0.602,0.466,0.732,0.796,0.0,0.111,0.0473,0.578
Kobita Kenekoi Likhe,5cOUXXHACrSuFzvwrzyma3,4,2017-01-23,miss,282.58766,-7.622999999999999,83.825,0.19699999999999998,4,1.0,4,0.741,1,0.6729999999999999,0.489,0.512,0.496,0.0,0.274,0.0426,0.562
Love Bite,5cyc8kR4MWhsVA5c4RxjIt,0,2017-11-16,miss,234.77819,-3.752,140.006,0.8490000000000001,4,1.0,1,0.157,1,0.44,0.0104,0.836,0.8,0.00731,0.24,0.0839,0.626
Naa Kala Nijamai,5etEDsKkrZTaaRwwdjnehD,0,2017-01-06,miss,221.01923,-5.962000000000001,114.958,0.7390000000000001,4,1.0,3,0.531,1,0.608,0.682,0.667,0.806,0.0,0.0587,0.0357,0.63
Endhuke Ila,5i8wv6OK1EPAGJBdEkIH5i,0,2017-01-20,miss,189.46562,-7.591,91.985,0.526,4,1.0,1,0.305,0,0.526,0.0499,0.744,0.557,0.0,0.28,0.037,0.339
"Yarri (From ""Sardar Mohammad"")",5kOsoTPB2kofuxjRPOtd2p,21,2017-10-04,miss,188.68798,-4.6080000000000005,169.87099999999998,0.637,4,0.988,11,0.332,0,0.297,0.00938,0.697,0.818,0.0,0.102,0.287,0.807
Blouse Ka Button,5sASgsO8sBgkLwe2znICyB,0,2017-01-27,miss,260.9444,-5.356,115.07799999999999,0.7140000000000001,4,1.0,9,0.15,1,0.249,0.185,0.753,0.924,3.7e-05,0.308,0.319,0.459
Tere Bina - Reprise,5tkrzqzHgVb0E5oDqJRqaw,6,2017-02-09,miss,193.97256000000002,-8.352,145.889,0.18,4,1.0,4,0.627,1,0.664,0.808,0.522,0.426,0.0,0.225,0.0308,0.449
Titar Tama,5tzt9U8gronBDVIwb8U9YR,0,2017-10-31,miss,274.35361,-6.047999999999999,120.08200000000001,0.6629999999999999,4,0.992,2,0.381,0,0.379,0.272,0.748,0.697,3.72e-05,0.276,0.0681,0.563
