name,id,popularity,release_date,hit_miss,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,tempo_confidence,time_signature,time_signature_confidence,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,79,27/5/16,hit,214.48,8,0.522,-5.861,1,0.641,105.017,0.715,4,1,0.103,0.803,0.585,3.94E-06,0.0644,0.0432,0.593
Gassed Up,6JjEVlMkfHWMeYavkEYzNO,74,26/8/16,hit,193.91107,5,0.361,-9.072,0,0.379,148.88,0.635,3,0.522,0.0213,0.798,0.568,0,0.0586,0.135,0.45
X (feat. Future),6fwdbPMwP1zVStm8FybmkO,75,15/7/16,hit,258.88,1,0.912,-9.81,1,0.664,149.004,0.526,4,0.989,0.373,0.835,0.413,0.00133,0.101,0.396,0.111
Somebody Else,5hc71nKsUgtwQ3z52KEKQk,74,26/2/16,hit,347.52,0,0.721,-5.719,1,0.689,101.038,0.501,4,0.943,0.202,0.611,0.799,0.0277,0.123,0.0641,0.51
Fight Song,37f4ITSlgPX81ad2EvmVQr,79,1/1/16,hit,204.01333,7,0.582,-4.987,1,0.644,175.924,0.076,4,0.972,0.0549,0.564,0.714,0,0.155,0.129,0.33
Black Beatles,6fujklziTHa8uoM5OQSfIo,77,12/8/16,hit,291.89333,0,0.615,-6.163,1,0.599,145.926,0.862,4,0.884,0.142,0.794,0.632,0,0.128,0.0649,0.355
Swang,6mapJIPnQ23RTAevUoE0DL,76,12/8/16,hit,208.12,8,0.969,-9.319,1,0.861,139.992,0.386,4,1,0.2,0.681,0.314,9.82E-06,0.1,0.0581,0.166
Broken,1SuznrYulmD8HMZrenI0VU,76,26/10/16,hit,200.62721,0,0.711,-2.659,1,0.496,133.999,0.877,4,1,0.0423,0.828,0.581,0.000903,0.109,0.0429,0.145
You're Welcome,6U4VqEHy4n5VeiH4pQPL24,75,18/11/16,hit,163.89333,5,0.44,-7.072,1,0.412,135.278,0.373,4,0.921,0.278,0.782,0.751,0,0.0367,0.28,0.688
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,81,5/2/16,hit,208.37333,11,0.282,-5.094,1,0.385,159.803,0.203,4,1,0.157,0.532,0.869,0.00508,0.136,0.172,0.422
hate u love u,6ATgDc6e4sPn84hvJsAmPt,79,9/12/16,hit,175.46671,6,0.656,-8.993,0,0.696,180.293,0.133,4,1,0.71,0.401,0.398,0,0.0962,0.183,0.265
Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,75,21/10/16,hit,270.84676,3,0.607,-8.818,1,0.556,124.156,0.172,3,1,0.0905,0.707,0.238,2.42E-06,0.0842,0.0379,0.345
We Don't Talk Anymore (feat. Selena Gomez),37FXw5QGFN7uwwsLy8uAc0,72,29/1/16,hit,217.70667,1,0.76,-8.053,0,0.746,100.017,0.215,4,1,0.621,0.728,0.563,0,0.179,0.134,0.352
She Don't (feat. Ty Dolla $Ign),01JPQ87UHeGysPVwTqMJHK,74,28/2/16,hit,264.09796,7,0.229,-7.512,0,0.404,99.979,0.504,4,0.998,0.268,0.65,0.478,0,0.177,0.05,0.147
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,79,24/6/16,hit,243.49098,9,0.229,-4.378,0,0.455,169.021,0.088,4,0.886,0.255,0.502,0.786,0,0.65,0.317,0.739
